Intern_ID,Task_Completion_Time_Hrs,Feedback_Rating,Attendance_Percentage,Performance
301,15.77,3.1,42.68,0.29
302,15.61,2.4,89.36,0.2
303,2.93,2.9,74.71,0.68
304,13.17,2.7,20.13,0.32
305,3.13,3.6,46.54,0.76
306,11.88,4.8,10.82,0.62
307,13.19,4.3,22.98,0.52
308,15.38,3.6,77.11,0.36
309,11.09,3.8,65.55,0.52
310,5.48,2.0,53.25,0.48
311,4.39,1.2,66.23,0.42
312,16.15,4.6,80.01,0.46
313,5.56,2.4,19.78,0.53
314,11.39,1.8,4.85,0.26
315,3.4,1.6,16.44,0.5
316,13.3,4.1,16.13,0.49
317,7.87,3.1,66.3,0.54
318,7.47,1.7,60.33,0.38
319,9.89,3.4,40.75,0.51
320,11.3,2.4,26.73,0.34
321,12.94,4.6,14.02,0.56
322,5.45,4.0,56.82,0.73
323,14.58,4.2,98.34,0.46
324,14.27,1.5,67.7,0.13
325,8.11,4.1,89.08,0.66
326,7.8,1.3,38.85,0.32
327,1.94,2.6,30.87,0.67
328,10.62,2.7,65.65,0.4
329,5.85,2.7,85.03,0.56
330,1.2,1.2,7.43,0.52
331,14.69,2.5,93.54,0.25
332,8.6,3.2,30.62,0.53
333,12.36,2.8,41.86,0.36
334,4.0,1.7,4.23,0.49
335,4.04,4.9,11.47,0.89
336,5.62,2.3,27.12,0.51
337,13.98,2.6,19.42,0.28
338,14.57,1.4,73.92,0.11
339,11.62,1.8,87.68,0.26
340,7.73,2.3,61.22,0.45
341,4.67,2.6,32.71,0.58
342,9.24,3.0,20.5,0.48
343,7.6,4.5,24.95,0.72
344,11.88,1.3,16.36,0.19
345,10.66,4.3,14.79,0.6
346,6.26,3.4,15.78,0.63
347,14.83,1.1,2.93,0.07
348,12.84,4.8,40.45,0.59
349,16.2,1.0,12.18,0.01
350,5.53,4.6,7.51,0.8
351,3.36,3.9,11.52,0.79
352,14.3,4.0,42.59,0.45
353,10.5,3.7,51.91,0.53
354,9.91,4.8,58.99,0.69
355,6.33,1.4,89.54,0.38
356,7.59,1.9,12.38,0.4
357,2.85,3.6,74.35,0.77
358,7.49,1.4,20.48,0.34
359,2.5,2.3,77.62,0.61
360,14.06,1.5,31.16,0.14
361,4.93,2.4,53.72,0.55
362,6.24,4.9,7.55,0.82
363,3.02,3.4,62.39,0.73
364,2.57,4.6,77.12,0.9
365,1.53,2.3,9.97,0.65
366,14.33,3.1,92.43,0.33
367,12.02,1.2,27.19,0.17
368,5.96,3.6,79.7,0.67
369,14.74,1.6,41.77,0.13
370,2.43,4.4,50.19,0.88
371,8.76,2.2,55.28,0.4
372,7.34,2.0,37.42,0.42
373,8.17,1.2,4.58,0.29
374,1.63,2.6,10.23,0.68
375,2.59,4.0,49.48,0.82
376,7.2,2.4,57.72,0.47
377,13.83,2.6,25.49,0.29
378,11.84,2.1,45.68,0.29
379,1.37,1.8,6.88,0.59
380,14.76,3.5,44.53,0.37
381,4.95,3.5,55.71,0.69
382,5.46,3.9,45.45,0.72
383,3.57,4.4,39.92,0.84
384,15.08,2.7,12.43,0.26
385,4.04,1.4,10.49,0.45
386,2.72,3.8,17.37,0.79
387,1.02,4.5,42.37,0.94
388,2.77,3.6,72.79,0.77
389,8.15,4.2,13.96,0.67
390,1.51,4.4,92.39,0.91
391,6.42,1.9,98.36,0.44
392,10.76,4.4,66.33,0.61
393,1.39,2.9,69.9,0.72
394,3.71,1.8,68.49,0.51
395,8.49,4.2,48.61,0.66
396,5.63,3.8,79.6,0.7
397,14.17,3.9,96.23,0.44
398,12.52,1.1,40.28,0.14
399,12.14,2.9,9.28,0.38
400,10.36,3.5,46.14,0.51
401,15.02,2.9,30.92,0.29
402,11.87,2.6,48.31,0.35
403,10.48,4.8,1.0,0.67
404,6.2,4.2,21.03,0.73
405,12.45,4.8,25.79,0.61
406,1.86,3.6,28.55,0.8
407,14.02,3.9,70.8,0.44
408,1.48,2.3,87.78,0.65
409,7.68,4.9,32.7,0.77
410,9.85,1.5,18.16,0.28
411,4.75,4.2,12.65,0.78
412,12.36,4.1,81.24,0.52
413,6.64,2.5,81.39,0.51
414,10.6,2.4,79.86,0.37
415,7.37,2.3,12.31,0.46
416,5.86,1.0,22.4,0.34
417,12.06,3.7,43.93,0.48
418,5.37,1.2,65.36,0.38
419,8.45,3.5,26.48,0.57
420,1.63,4.7,41.8,0.94
421,12.78,3.5,33.7,0.43
422,13.25,4.9,15.01,0.59
423,7.57,3.9,92.92,0.65
424,12.81,1.8,53.13,0.22
425,1.23,1.9,25.72,0.61
426,7.85,2.1,39.45,0.42
427,11.37,2.7,0.95,0.38
428,7.01,5.0,62.14,0.81
429,13.73,4.4,38.12,0.51
430,9.05,4.8,4.87,0.72
431,7.65,4.1,38.71,0.67
432,9.53,3.2,51.77,0.5
433,12.33,1.5,98.57,0.2
434,14.91,2.3,53.94,0.21
435,3.81,4.2,72.24,0.81
436,6.11,4.9,10.13,0.82
437,14.13,3.4,85.88,0.38
438,3.17,4.1,20.22,0.82
439,7.65,4.6,71.58,0.74
440,3.23,2.2,20.32,0.58
441,2.19,3.1,43.8,0.72
442,8.31,4.2,61.07,0.66
443,11.05,4.0,97.26,0.55
444,4.9,4.9,56.55,0.86
445,1.88,2.8,52.68,0.7
446,11.34,1.4,62.93,0.22
447,8.41,1.7,71.86,0.35
448,13.39,1.0,4.44,0.1
449,8.31,2.7,16.86,0.48
450,16.39,2.6,43.09,0.2
451,3.7,3.9,36.01,0.78
452,5.74,4.7,29.39,0.81
453,10.32,3.6,22.11,0.52
454,4.29,2.1,20.59,0.53
455,6.29,4.5,91.59,0.77
456,3.79,1.6,35.48,0.49
457,6.13,1.6,22.39,0.41
458,7.77,4.6,81.27,0.73
459,6.19,1.9,38.63,0.45
460,2.26,2.2,69.69,0.61
461,8.45,2.5,61.56,0.45
462,5.89,4.4,10.87,0.77
463,3.0,3.7,26.17,0.77
464,11.24,1.2,35.87,0.19
465,11.05,3.4,88.48,0.48
466,2.06,2.8,75.4,0.69
467,13.26,4.8,65.77,0.58
468,2.25,2.8,0.56,0.68
469,1.42,2.7,98.89,0.7
470,2.42,1.3,71.75,0.49
471,9.63,3.8,57.34,0.57
472,12.69,3.3,7.65,0.41
473,9.62,4.8,24.49,0.7
474,10.44,1.3,41.55,0.23
475,3.89,2.4,69.24,0.58
476,13.44,2.2,71.2,0.25
477,3.84,1.7,40.7,0.5
478,11.28,4.5,63.42,0.61
479,14.33,1.8,18.1,0.17
480,12.97,1.9,7.43,0.23
481,10.34,1.0,55.68,0.2
482,11.4,2.1,19.71,0.3
483,13.62,2.6,72.6,0.29
484,15.45,2.7,34.26,0.25
485,9.4,2.0,62.41,0.35
486,13.83,4.2,42.63,0.49
487,4.24,3.0,25.43,0.65
488,7.33,4.6,15.1,0.75
489,14.0,4.1,30.23,0.47
490,10.81,3.3,94.52,0.47
491,6.35,1.7,51.07,0.41
492,8.28,3.8,45.92,0.62
493,12.98,2.8,33.36,0.34
494,8.92,4.6,88.21,0.69
495,16.09,4.5,95.8,0.45
496,3.81,3.2,96.79,0.68
497,6.2,1.9,99.59,0.44
498,8.56,3.4,71.22,0.56
499,15.69,2.1,55.26,0.16
500,3.65,2.0,2.3,0.54
501,2.32,3.0,64.52,0.71
502,10.9,4.0,73.58,0.56
503,6.33,3.8,71.7,0.68
504,7.84,2.5,42.38,0.47
505,1.67,2.2,40.27,0.63
506,1.63,2.3,45.99,0.64
507,12.54,1.6,96.32,0.2
